date,desc,balance
10/27/2023,Swish till AB STORSTOCKHOLMS LOKALTRAFIK,79022.02
10/19/2023,Swish till AB STORSTOCKHOLMS LOKALTRAFIK,40338.32
10/18/2023,Swish till AB STORSTOCKHOLMS LOKALTRAFIK,41271.45
10/16/2023,Swish till AB STORSTOCKHOLMS LOKALTRAFIK,42739.44
10/10/2023,Swish till AB STORSTOCKHOLMS LOKALTRAFIK,47296.79
9/28/2023,Swish till AB STORSTOCKHOLMS LOKALTRAFIK,56169.34
9/19/2023,Swish till AB STORSTOCKHOLMS LOKALTRAFIK,25163.69
9/5/2023,Swish till AB STORSTOCKHOLMS LOKALTRAFIK,39035.82
8/29/2023,Swish till AB STORSTOCKHOLMS LOKALTRAFIK,42427.74
8/17/2023,Swish till AB STORSTOCKHOLMS LOKALTRAFIK,1828.65
8/31/2022,ICA NARA FURUVIKS, 40448.46
8/30/2022,COOP HAGASTADEN, 40679.16
